qi,uf,u_new,P,res
26.862063386522923,27.343567313982177,27.10438205142519,28.4166437588343,0.017086292506446634
27.10438205142519,27.632509692314915,27.364845612832656,29.816022661359966,0.01808115294204162
27.364845612832656,27.946666628970128,27.645773468591916,31.262140090813286,0.019191718346634815
27.645773468591916,28.289738302675794,27.949854814497236,32.89395893515082,0.020436637816248774
27.949854814497236,28.666187268347848,28.280300584785802,34.671566041366134,0.02184030962780668
28.280300584785802,29.081378101079203,28.640894710046215,36.77694010641147,0.023430884269161067
28.640894710046215,29.541827783865745,29.036203989051362,38.97362214014497,0.02524251096346273
29.036203989051362,30.05547686289838,29.471684519859345,41.458490703202756,0.027318711859334086
29.471684519859345,30.632005145464763,29.953956918128977,44.26967390602462,0.029709354673889212
29.953956918128977,31.283225625928957,30.49104257974303,47.4737970361942,0.0324705715202319
30.49104257974303,32.02346285178154,31.09268291009883,51.03081331869943,0.03566511207500931
31.09268291009883,32.86992041728866,31.770653593172117,55.220733355023675,0.03935717702549945
31.770653593172117,33.84283887062224,32.53909657894003,59.797984489367686,0.04359801147988861
32.53909657894003,34.96524921930466,33.41461682943748,65.06419660251764,0.04842002246396518
33.41461682943748,36.262009614058094,34.41623283776993,71.0406835897897,0.05381621146821693
34.41623283776993,37.757831285462146,35.564731084971044,77.79922236926095,0.05973246139954511
35.564731084971044,39.47464554983224,36.88201997912295,85.23124121731249,0.06610480370516632
36.88201997912295,41.42858930158564,38.389202442929864,93.5963390821318,0.07283164977300798
38.389202442929864,43.63303161342918,40.10855313633305,102.50867852984818,0.08000722472382793
40.10855313633305,46.11481054775278,42.07001928733459,112.47160687424444,0.0880099918320866
42.07001928733459,48.953907954250376,44.327175807589185,123.3737093597733,0.09749850473319605
44.327175807589185,52.34705006061813,46.976159868348375,136.82055261014168,0.10922949411962057
46.976159868348375,56.66455027550748,50.148408875511194,154.99851102320085,0.12402023446041519
50.148408875511194,62.504310548540715,53.95755124683727,183.2450720430023,0.1448428219770004
53.95755124683727,70.90765720059893,58.573313880515926,227.79036289562984,0.18124405358159698
58.573313880515926,83.45169498416053,64.84710302933601,292.8562152250016,0.2661169242386094
64.84710302933601,102.67708108680596,77.26961774318123,370.78461939748007,0.5132573978754204
77.26961774318123,159.8192241331071,128.71848069269433,478.8741009606828,1.2516912156734
128.71848069269433,686.6827095803441,532.0863062783262,1703.1730688933335,3.820402205373947
532.0863062783262,9146.090720743903,5510.989071874097,36847.779012952175,10.266540001746979
5510.989071874097,675625.5309908657,336673.9813601027,3970143.1678926293,60.97950262944342
336673.9813601027,1959380126.2197084,1070616186.8525484,17175622591.977617,3179.8940152069367
1070616186.8525484,1.1506622790844408e+16,8291891065376194.0,1.0230948656203997e+17,7744971.027854476
8291891065376194.0,2.804955244175614e+29,2.0397521928481768e+29,4.758729663310662e+30,24599360709951.848
2.0397521928481768e+29,2.689464880099087e+56,1.5574571755455258e+56,5.613762357161201e+57,7.635521515830775e+26
1.5574571755455258e+56,1.1884458990677565e+110,7.258255468384398e+109,3.008436219835675e+111,4.66032426595747e+53
7.258255468384398e+109,7.258255468384398e+109,7.258255366296766e+109,1.0490252273672238e+110,0.00016766442568144396
